# Weather station Chicago / Midway (airport), USA, WMO_ID=72534,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72534&lang=en
#
"Local time in Chicago / Midway (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.11.2019 21:00";"3.9";"749.4";"766.9";"";"86";"Wind blowing from the east-southeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"1.7";"Trace of precipitation";"3";"";"";"";"";
"29.11.2019 15:00";"3.9";"751.6";"769.3";"";"82";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"1.1";"";"";"";"";"";"";
"29.11.2019 09:00";"2.8";"754.6";"772.3";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"12.0";"2.2";"";"";"";"";"";"";
"29.11.2019 03:00";"2.2";"755.1";"772.8";"";"93";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"1.1";"Trace of precipitation";"3";"";"";"";"";
"28.11.2019 21:00";"2.8";"756.4";"774.1";"";"89";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"1.1";"Trace of precipitation";"3";"";"";"";"";
"28.11.2019 15:00";"3.3";"756.9";"774.7";"";"68";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"28.11.2019 09:00";"1.1";"757.3";"775.3";"";"67";"Wind blowing from the north-northwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"28.11.2019 03:00";"0.0";"754.3";"772.2";"";"66";"Wind blowing from the north-northwest";"6";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"27.11.2019 21:00";"2.2";"749.4";"767.1";"";"64";"Wind blowing from the west-northwest";"8";"13";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"27.11.2019 15:00";"3.9";"740.2";"757.2";"";"65";"Wind blowing from the west";"15";"22";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"27.11.2019 09:00";"5.6";"730.9";"747.9";"";"73";"Wind blowing from the west-southwest";"15";"22";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"1.1";"Trace of precipitation";"3";"";"";"";"";
"27.11.2019 03:00";"13.3";"728.2";"744.8";"";"90";"Wind blowing from the south";"8";"13";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"4.8";"11.7";"3.0";"3";"";"";"";"";
"26.11.2019 21:00";"8.3";"733.9";"750.9";"";"93";"Wind blowing from the east";"4";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"2.0";"7.2";"4.0";"3";"";"";"";"";
"26.11.2019 15:00";"7.8";"738.1";"755.3";"";"71";"Wind blowing from the east-northeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"2.8";"";"";"";"";"";"";
"26.11.2019 09:00";"5.6";"741.4";"758.5";"";"76";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"26.11.2019 03:00";"2.2";"739.4";"756.4";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"25.11.2019 21:00";"7.8";"737.7";"754.7";"";"73";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.3";"";"";"";"";"";"";
"25.11.2019 15:00";"12.8";"734.7";"751.6";"";"57";"Wind blowing from the south-southwest";"6";"9";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"4.4";"";"";"";"";"";"";
"25.11.2019 09:00";"5.6";"735.7";"752.8";"";"76";"Wind blowing from the south-southwest";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"25.11.2019 03:00";"3.9";"735.4";"752.5";"";"82";"Wind blowing from the south-southwest";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.1";"";"";"";"";"";"";
"24.11.2019 21:00";"8.9";"735.7";"752.8";"";"71";"Wind blowing from the south-west";"5";"9";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.9";"Trace of precipitation";"3";"";"";"";"";
"24.11.2019 15:00";"10.0";"736.2";"753.1";"";"57";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"24.11.2019 09:00";"3.3";"737.9";"755.3";"";"79";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"0.0";"";"";"";"";"";"";
"24.11.2019 03:00";"1.1";"737.4";"754.8";"";"79";"Wind blowing from the west-southwest";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"23.11.2019 21:00";"1.7";"738.4";"755.9";"";"72";"Wind blowing from the west-southwest";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"23.11.2019 15:00";"4.4";"738.1";"755.6";"";"60";"Wind blowing from the west-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"23.11.2019 09:00";"0.0";"742.4";"760.0";"";"82";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"23.11.2019 03:00";"-1.7";"745.1";"762.8";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"22.11.2019 21:00";"0.0";"747.9";"765.7";"";"75";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"22.11.2019 15:00";"3.3";"748.9";"766.4";"";"57";"Wind blowing from the east";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"22.11.2019 09:00";"0.6";"750.1";"767.8";"";"64";"Wind blowing from the north-northwest";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-5.6";"";"";"";"";"";"";
