# Weather station Springfield (airport), USA, WMO_ID=72440,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72440&lang=en
#
"Local time in Springfield (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.11.2019 18:00";"5.0";"726.5";"761.3";"";"96";"Wind blowing from the south-east";"7";"";"";"100%.";" ";"";"";"2.2";"5.6";"";"";"100-200";"";"";"12.0";"4.4";"2.0";"6";"";"";"";"";
"29.11.2019 12:00";"3.9";"730.9";"766.0";"";"96";"Wind blowing from the south-east";"4";"";"";"100%.";"Rain, not freezing, continuous, heavy at time of observation. ";"";"";"1.7";"4.4";"";"";"100-200";"";"";"2.8";"3.3";"2.0";"6";"";"";"";"";
"29.11.2019 06:00";"3.3";"733.1";"768.6";"";"93";"Wind blowing from the south-southeast";"5";"";"";"100%.";" ";"";"";"2.2";"3.3";"";"";"100-200";"";"";"16.0";"2.2";"";"";"";"";"";"";
"29.11.2019 00:00";"2.2";"733.6";"768.9";"";"93";"Wind blowing from the south-southeast";"5";"";"";"100%.";" ";"";"";"";"2.2";"";"";"100-200";"";"";"16.0";"1.1";"Trace of precipitation";"6";"";"";"";"";
"28.11.2019 18:00";"2.2";"735.3";"770.8";"";"93";"Wind blowing from the south-east";"5";"";"";"100%.";" ";"";"";"0.6";"2.2";"";"";"200-300";"";"";"16.0";"1.1";"4.0";"6";"";"";"";"";
"28.11.2019 12:00";"1.7";"737.5";"773.2";"";"85";"Wind blowing from the east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"1.1";"1.7";"";"";"200-300";"";"";"8.0";"-0.6";"4.0";"6";"";"";"";"";
"28.11.2019 06:00";"1.1";"737.3";"772.9";"";"70";"Wind blowing from the east-northeast";"4";"";"";"100%.";" ";"";"";"-0.5";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"28.11.2019 00:00";"1.7";"737.3";"772.7";"";"64";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"-0.6";"6.1";"";"";"";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"27.11.2019 18:00";"2.8";"735.1";"770.4";"";"57";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"1.1";"6.7";"";"";"";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"27.11.2019 12:00";"4.4";"732.9";"767.8";"";"58";"Wind blowing from the west-northwest";"7";"11";"";"no clouds";" ";"";"";"0.0";"6.1";"";"";"";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"27.11.2019 06:00";"1.1";"727.3";"762.0";"";"70";"Wind blowing from the west";"8";"17";"";"20–30%.";" ";"";"";"1.1";"18.9";"";"";"600-1000";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"27.11.2019 00:00";"6.1";"719.2";"753.1";"";"58";"Wind blowing from the west-southwest";"11";"22";"";"no clouds";" ";"";"";"6.1";"17.2";"";"";"";"";"";"16.0";"-1.7";"0.5";"6";"";"";"";"";
"26.11.2019 18:00";"14.4";"713.3";"747.0";"";"78";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"6.7";"18.9";"";"";"";"";"";"16.0";"10.6";"";"";"";"";"";"";
"26.11.2019 12:00";"16.7";"715.0";"748.7";"";"84";"Wind blowing from the south-southeast";"9";"11";"";"70 – 80%.";" ";"";"";"10.0";"16.7";"";"";"300-600";"";"";"14.0";"13.9";"";"";"";"";"";"";
"26.11.2019 06:00";"11.1";"716.8";"750.5";"";"97";"Wind blowing from the south-east";"6";"";"";"100%.";" ";"";"";"4.4";"";"";"";"100-200";"";"";"11.0";"10.6";"";"";"";"";"";"";
"26.11.2019 00:00";"7.8";"718.9";"753.0";"";"79";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"2.8";"11.1";"";"";"";"";"";"16.0";"4.4";"";"";"";"";"";"";
"25.11.2019 18:00";"10.6";"718.7";"752.8";"";"66";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"2.8";"18.9";"";"";"";"";"";"16.0";"4.4";"";"";"";"";"";"";
"25.11.2019 12:00";"16.7";"718.9";"752.8";"";"46";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"3.9";"16.7";"";"";"";"";"";"16.0";"5.0";"";"";"";"";"";"";
"25.11.2019 06:00";"5.0";"719.7";"754.0";"";"76";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"2.8";"16.7";"";"";"";"";"";"16.0";"1.1";"";"";"";"";"";"";
"25.11.2019 00:00";"6.7";"720.9";"755.2";"";"68";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"-1.6";"10.0";"";"";"";"";"";"16.0";"1.1";"";"";"";"";"";"";
"24.11.2019 18:00";"10.0";"721.6";"756.3";"";"52";"Wind blowing from the south-southwest";"5";"";"";"no clouds";" ";"";"";"-1.6";"16.7";"";"";"";"";"";"16.0";"0.6";"";"";"";"";"";"";
"24.11.2019 12:00";"13.3";"723.8";"758.5";"";"46";"Wind blowing from the west-southwest";"6";"";"";"no clouds";" ";"";"";"-1.7";"13.3";"";"";"";"";"";"16.0";"1.7";"";"";"";"";"";"";
"24.11.2019 06:00";"-1.1";"725.3";"760.3";"";"88";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"-1.7";"6.1";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"24.11.2019 00:00";"0.6";"726.3";"761.2";"";"89";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"-0.6";"3.9";"";"";"";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"23.11.2019 18:00";"3.9";"726.3";"761.2";"";"70";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"1.1";"6.1";"";"";"600-1000";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"23.11.2019 12:00";"2.2";"726.1";"761.1";"";"79";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"0.6";"2.8";"";"";"300-600";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"23.11.2019 06:00";"1.1";"725.8";"760.6";"";"97";"Wind blowing from the west-northwest";"3";"";"";"100%.";" ";"";"";"1.1";"6.7";"";"";"100-200";"";"";"12.0";"0.6";"";"";"";"";"";"";
"23.11.2019 00:00";"2.8";"727.0";"761.9";"";"96";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"";"";"2.8";"3.9";"";"";"50-100";"";"";"4.8";"2.2";"1.0";"6";"";"";"";"";
"22.11.2019 18:00";"3.3";"728.2";"763.3";"";"93";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"2.8";"";"";"";"300-600";"";"";"16.0";"2.2";"2.0";"6";"";"";"";"";
"22.11.2019 06:00";"2.8";"730.0";"764.8";"";"89";"Wind blowing from the north-northeast";"4";"";"";"100%.";" ";"";"";"2.8";"16.1";"";"";"200-300";"";"";"16.0";"1.1";"Trace of precipitation";"6";"";"";"";"";
