# Weather station Los Angeles (airport), USA, WMO_ID=72295,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72295&lang=en
#
"Local time in Los Angeles (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.11.2019 22:00";"11.1";"759.1";"763.3";"";"64";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"6.1";"13.9";"";"";"1000-1500";"";"";"16.0";"4.4";"";"";"";"";"";"";
"29.11.2019 16:00";"13.9";"756.6";"760.7";"";"51";"Wind blowing from the west";"7";"";"";"50%.";" ";"";"";"6.1";"15.0";"";"";"1000-1500";"";"";"16.0";"3.9";"Trace of precipitation";"6";"";"";"";"";
"29.11.2019 10:00";"11.7";"754.8";"758.9";"";"66";"";"2";"";"";"20–30%.";" ";"";"";"6.1";"11.7";"";"";"300-600";"";"";"16.0";"5.6";"";"";"";"";"";"";
"29.11.2019 04:00";"6.7";"750.0";"754.2";"";"85";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"6.1";"11.7";"";"";"300-600";"";"";"16.0";"4.4";"1.0";"6";"";"";"";"";
"28.11.2019 22:00";"8.9";"748.9";"753.1";"";"80";"Wind blowing from the north-west";"6";"9";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"7.8";"11.1";"";"";"300-600";"";"";"16.0";"5.6";"0.5";"6";"";"";"";"";
"28.11.2019 16:00";"9.4";"747.2";"751.3";"";"77";"Wind blowing from the east";"6";"";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"9.4";"11.7";"";"";"600-1000";"";"";"12.0";"5.6";"6.0";"6";"";"";"";"";
"28.11.2019 10:00";"10.6";"747.4";"751.3";"";"86";"Wind blowing from the east-northeast";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"10.0";"11.1";"";"";"1500-2000";"";"";"12.0";"8.3";"11.0";"6";"";"";"";"";
"28.11.2019 04:00";"10.0";"748.2";"752.2";"";"80";"Wind blowing from the east";"5";"";"";"70 – 80%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"9.4";"15.0";"";"";"300-600";"";"";"16.0";"6.7";"2.0";"6";"";"";"";"";
"27.11.2019 22:00";"11.1";"749.5";"753.6";"";"72";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"10.6";"16.1";"";"";"1000-1500";"";"";"16.0";"6.1";"Trace of precipitation";"6";"";"";"";"";
"27.11.2019 16:00";"14.4";"748.0";"752.1";"";"56";"Wind blowing from the west";"8";"";"";"20–30%.";" ";"";"";"12.2";"15.0";"";"";"1000-1500";"";"";"16.0";"5.6";"3.0";"6";"";"";"";"";
"27.11.2019 10:00";"12.8";"749.8";"753.8";"";"74";"Wind blowing from the west";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"12.2";"16.1";"";"";"300-600";"";"";"6.0";"8.3";"2.0";"6";"";"";"";"";
"27.11.2019 04:00";"13.9";"750.7";"754.7";"";"51";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"13.3";"19.4";"";"";"600-1000";"";"";"16.0";"3.9";"Trace of precipitation";"6";"";"";"";"";
