# Weather station Newark (airport), USA, WMO_ID=72502,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72502&lang=en
#
"Local time in Newark (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.11.2019 19:00";"3.3";"765.4";"765.9";"";"52";"Wind blowing from the north-northwest";"6";"";"";"70 – 80%.";" ";"";"";"-1.0";"5.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"29.11.2019 13:00";"5.0";"765.9";"766.6";"";"43";"Wind blowing from the north-west";"6";"";"";"70 – 80%.";" ";"";"";"-1.1";"5.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"29.11.2019 07:00";"-1.1";"767.2";"767.8";"";"64";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";" ";"";"";"-1.1";"11.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-7.2";"";"";"";"";"";"";
"29.11.2019 01:00";"2.2";"766.4";"766.9";"";"62";"Wind blowing from the north-northwest";"7";"";"";"20–30%.";" ";"";"";"2.2";"11.1";"";"";"600-1000";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"28.11.2019 19:00";"5.0";"763.9";"764.4";"";"60";"Wind blowing from the north-northwest";"8";"12";"";"20–30%.";" ";"";"";"5.0";"11.1";"";"";"1000-1500";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"28.11.2019 13:00";"9.4";"757.5";"758.2";"";"50";"Wind blowing from the north-west";"12";"23";"";"70 – 80%.";" ";"";"";"7.8";"11.1";"";"";"1000-1500";"";"";"16.0";"-0.6";"Trace of precipitation";"6";"";"";"";"";
"28.11.2019 07:00";"7.8";"755.2";"755.8";"";"54";"Wind blowing from the west";"7";"11";"";"50%.";" ";"";"";"7.8";"15.6";"";"";"1500-2000";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"28.11.2019 01:00";"11.1";"751.9";"752.6";"";"45";"Wind blowing from the west";"10";"14";"";"70 – 80%.";" ";"";"";"6.7";"13.9";"";"";"600-1000";"";"";"16.0";"-0.6";"0.3";"6";"";"";"";"";
"27.11.2019 19:00";"13.9";"750.4";"750.9";"";"72";"Wind blowing from the south-west";"7";"";"";"100%.";" ";"";"";"6.7";"15.6";"";"";"600-1000";"";"";"16.0";"8.9";"Trace of precipitation";"6";"";"";"";"";
"27.11.2019 13:00";"13.9";"756.3";"756.9";"";"72";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"7.8";"13.9";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"27.11.2019 07:00";"8.9";"761.6";"762.2";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"6.7";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.6";"";"";"";"";"";"";
"27.11.2019 01:00";"10.0";"762.6";"763.0";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"3.3";"12.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.9";"";"";"";"";"";"";
"26.11.2019 19:00";"11.1";"762.1";"762.6";"";"57";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"3.3";"16.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
