# Weather station Philadelphia (airport), USA, WMO_ID=72408,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72408&lang=en
#
"Local time in Philadelfia (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.11.2019 19:00";"3.3";"764.6";"766.3";"";"51";"Wind blowing from the north";"6";"";"";"70 – 80%.";" ";"";"";"0.0";"5.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"29.11.2019 13:00";"5.0";"765.4";"767.1";"";"45";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";" ";"";"";"0.0";"5.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"29.11.2019 07:00";"0.0";"766.9";"768.7";"";"64";"Wind blowing from the north";"4";"";"";"70 – 80%.";" ";"";"";"0.0";"12.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"29.11.2019 01:00";"3.3";"765.9";"767.6";"";"60";"Wind blowing from the north-northwest";"8";"11";"";"20–30%.";" ";"";"";"3.3";"11.1";"";"";"600-1000";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"28.11.2019 19:00";"6.1";"764.4";"766.1";"";"56";"Wind blowing from the north-northwest";"10";"13";"";"50%.";" ";"";"";"6.1";"11.7";"";"";"1000-1500";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"28.11.2019 13:00";"10.6";"759.1";"760.6";"";"43";"Wind blowing from the north-west";"11";"15";"";"70 – 80%.";" ";"";"";"7.2";"11.7";"";"";"1500-2000";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"28.11.2019 07:00";"7.8";"757.0";"758.5";"";"47";"Wind blowing from the west-northwest";"8";"14";"";"20–30%.";" ";"";"";"7.8";"13.9";"";"";"1000-1500";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"28.11.2019 01:00";"11.1";"754.0";"755.7";"";"37";"Wind blowing from the west";"13";"19";"";"100%.";" ";"";"";"";"13.9";"";"";"1500-2000";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"27.11.2019 19:00";"13.9";"750.4";"752.1";"";"74";"Wind blowing from the south-west";"7";"12";"";"100%.";" ";"";"";"3.9";"13.9";"";"";"300-600";"";"";"16.0";"9.4";"Trace of precipitation";"6";"";"";"";"";
"27.11.2019 13:00";"13.3";"754.5";"756.1";"";"65";"Wind blowing from the south";"5";"";"";"100%.";" ";"";"";"6.7";"13.3";"";"";"1000-1500";"";"";"16.0";"6.7";"";"";"";"";"";"";
"27.11.2019 07:00";"6.7";"760.3";"761.8";"";"89";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"3.9";"16.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"27.11.2019 01:00";"5.6";"761.6";"763.2";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"1.7";"13.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.3";"";"";"";"";"";"";
"26.11.2019 19:00";"10.6";"761.6";"763.1";"";"61";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"1.7";"16.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.3";"";"";"";"";"";"";
